stock,mse,mape
ACB,0.4446006417274475,0.02127816714346409
BID,10.256614685058594,0.04266785457730293
BVH,44.043067932128906,0.06861863285303116
CTG,7.375389575958252,0.05868509039282799
DGC,34.32844161987305,0.05900765210390091
FPT,16.06777000427246,0.03214332461357117
GAS,95.93820190429688,0.06766998767852783
GVR,7.002549171447754,0.057611133903265
HDB,8.92857551574707,0.09956260025501251
HPG,0.547320544719696,0.021021796390414238
KDH,1.6458402872085571,0.035063955932855606
MBB,18.20157241821289,0.1558070182800293
MSN,6.163522243499756,0.02424430474638939
MWG,50.4229621887207,0.07441777735948563
NVL,1.5280083417892456,0.06625884771347046
PDR,0.9048831462860107,0.03497900068759918
PLX,17.891475677490234,0.05818934366106987
PNJ,41.20294189453125,0.06675349920988083
POW,0.40296483039855957,0.03398625925183296
SAB,3.9515607357025146,0.027261704206466675
SSI,4.06107759475708,0.05246138572692871
STB,220.55491638183594,0.23086172342300415
TCB,25.158706665039062,0.13391658663749695
TPB,0.2728925943374634,0.023900797590613365
VCB,15.483319282531738,0.03214379400014877
VHM,486.1286926269531,0.14088262617588043
VIC,8173.63037109375,0.5878490805625916
VJC,694.8710327148438,0.12331879138946533
VNM,5.967036724090576,0.02665790542960167
VPB,1.292357325553894,0.0324048213660717
VPL,73.87792205810547,0.1002347394824028
VRE,5.418957233428955,0.050342120230197906
